id,site_id,title,seller_id,price,date_created,last_updated
MLA1406884509,MLA,Xiaomi Mi Box S De Voz 4k 8gb Negro Con 2gb De Memoria Ram,180231491,87999.0,2024-02-03T23:23:14.000Z,2024-02-15T20:45:15.351Z
MLA1620396590,MLA,Google Chromecast Modelo Nc2-6a5,153769782,50000.0,2024-01-05T09:23:49.000Z,2024-01-31T23:35:46.875Z
MLA1402069471,MLA,Chromecast...,243166413,35000.0,2024-01-11T14:01:41.000Z,2024-02-21T16:32:38.000Z
MLA1625147004,MLA,Chromecast Xiaomi Mi Tv Stick,674527160,75000.0,2024-01-10T02:00:52.000Z,2024-02-27T00:36:27.000Z
MLA1626492066,MLA,Google Chromecast 3ra Gen (sin Uso) Perfecto Estado,97730425,46000.0,2024-01-10T19:36:58.688Z,2024-02-23T18:25:41.606Z
MLA1615911968,MLA,Google Chromecast Con Google Tv De Voz 4.ª Generación 4k,57233981,90000.0,2023-12-31T19:41:25.000Z,2024-02-25T01:13:28.000Z
MLA1640314626,MLA,Chromecast 3ra Gen,641589741,55000.0,2024-01-22T21:02:11.000Z,2024-01-31T20:35:31.034Z
MLA1684475708,MLA,Chromecast Google Primera Generación,39777283,35000.0,2024-02-27T21:09:19.000Z,2024-02-27T21:12:48.539Z
MLA1407427733,MLA,Chromecast 3,6448921,50000.0,2024-02-07T14:52:39.000Z,2024-02-21T18:08:50.000Z
MLA1410562583,MLA,Google Chromecast 3 Hdmi Streaming En Caja -,285926226,66000.0,2024-02-19T20:11:27.000Z,2024-02-28T13:12:04.384Z
MLA1620358714,MLA,Google Chromecast  3 Full Hd Media Streaming Negro.,398851539,52000.0,2024-01-05T12:26:47.000Z,2024-02-04T04:22:00.000Z
MLA1402614097,MLA,Caja De Google Chromecast 3 Solo Caja,68212033,6000.0,2024-01-15T15:07:15.000Z,2024-01-15T16:29:15.000Z
MLA1640370762,MLA,Xiaomi Mi Box S,116759027,90000.0,2024-01-22T23:49:31.000Z,2024-01-22T23:49:35.000Z
MLA1662001312,MLA,Xiaomi Mi Tv Box S Control De Voz 4k 8gb Con 2 Gb De Ram,39777283,90000.0,2024-02-07T21:24:03.000Z,2024-02-21T23:56:27.000Z
MLA1626488856,MLA,Google Chromecast 3ra Gen,97730425,44000.0,2024-01-11T00:49:24.057Z,2024-02-13T23:29:24.433Z
MLA1670706748,MLA,Cromecast Ultra 4k,25944722,50000.0,2024-02-16T12:05:50.000Z,2024-02-16T12:05:50.000Z
MLA1630759688,MLA,Google Chromecast 2 Generacion Full Hd,1279996788,35000.0,2024-01-14T21:57:49.680Z,2024-02-08T00:00:52.834Z
MLA1678004394,MLA,Chromecast Original Google Hdmi Usb Todas Las Apps Streaming,35048130,50000.0,2024-02-22T12:14:01.000Z,2024-02-28T13:12:10.688Z
MLA1407481381,MLA,Google Chromecast  3 Full Hd Media Streaming Color Carbón,38345984,60000.0,2024-02-07T15:09:40.000Z,2024-02-07T15:47:46.264Z
